ID,type,time,dayofweek,models,params,queuelen,trials,duration
3875,9,0.648611111,4,19,3344,0,40,0
3351,13,0.806944444,4,21,,11,40,0
4133,,0.725694444,4,4,223,0,40,0
3957,12,0.007638889,1,2,,0,40,1
3952,13,0.585416667,2,88,2955,10,40,1
3106,6,0.594444444,1,62,1572,0,20,1
4312,4,0.683333333,5,6,626,0,40,0
1170,14,0.330555556,1,14,1607,0,40,1
2299,9,0.727777778,5,2,1265,0,40,0
1064,10,0.711805556,2,53,193,0,20,0
1551,3,0.645833333,5,18,,0,40,0
818,,0.384722222,3,1,23711,0,40,0
3724,13,0.732638889,3,6,2608,43,40,0
2351,7,0.659027778,5,13,2873,122,40,2
816,,0.494444444,3,21,3240,103,40,1
3823,7,0.679166667,5,1,412,0,40,0
1952,14,0.783333333,3,16,1292,0,400,3
1482,,0.695138889,1,25,219,0,40,1
2651,3,0.275,3,1,75,0,40,0
1641,9,0.672222222,5,3,1103,0,40,0
2063,8,0.8375,1,1,19231,0,40,0
3321,,0.679861111,1,9,11243,0,40,0
864,9,0.532638889,3,2,998,0,40,0
3705,12,0.080555556,5,26,8639,0,40,1
2380,,0.422222222,1,3,99764,0,40,0
554,7,0.701388889,5,7,2508,0,40,1
1174,14,0.840277778,3,8,979,0,20,1
1509,14,0.509722222,3,21,3281,5,40,1
4286,13,0.234027778,4,222,,0,40,2
1295,7,0.36875,2,222,437,0,40,2
3690,0,0.7,5,7,2789,160,40,1
748,14,0.782638889,3,17,1291,0,400,3
1225,9,0.805555556,4,14,305,0,40,0
866,12,0.550694444,4,4,7559,178,100,1
752,0,0.215277778,1,24,452,0,40,0
3439,9,0.716666667,4,1,3084,0,40,0
2131,12,0.709027778,4,27,1307,2,20,1
3450,12,0.683333333,5,6,3129,1,40,1
4254,9,0.636111111,1,17,199,0,40,0
729,8,0.621527778,2,25,7197,0,40,0
3400,13,0.0125,3,55,4895,0,40,1
3228,12,0.513194444,4,82,3958,1,100,2
4200,14,0.693055556,5,3,1194,0,40,1
2887,9,0.783333333,4,22,416,0,40,0
1110,5,0.429166667,5,2,3397,0,40,0
3162,12,0.459722222,3,1,3435,0,40,1
346,14,0.441666667,5,18,3265,8,40,1
3082,13,0.668055556,1,1,,0,200,1
4009,,0.813194444,4,7,429,803,40,2
578,6,0.565972222,3,62,928,5,20,0
3781,8,0.896527778,3,6,21540,0,40,0
3025,11,0.377777778,2,11,36424,0,40,0
1783,14,0.390277778,2,24,291,81,40,1
2909,12,0.522222222,3,8,1227,8,40,0
1606,9,0.520833333,2,7,3214,0,40,0
178,9,0.677083333,3,8,836,36,40,0
3674,11,0.600694444,2,12,,0,40,0
1281,14,0.736805556,3,20,3231,19,100,2
3033,2,0.725694444,4,4,1384,0,40,0
1565,0,0.4375,5,24,6549,0,40,2
604,,0.575,2,4,474,0,40,1
1189,14,0.579166667,2,6,1039,54,40,2
25,9,0.697916667,5,11,3720,0,40,1
658,4,0.547222222,4,4,491,0,100,0
3538,,0.638194444,2,13,9432,0,40,0
2452,,0.582638889,2,58,989,7,40,1
173,9,0.222222222,5,62,661,3,20,1
3519,11,0.613888889,2,26,34028,0,40,0
331,13,0.594444444,1,7,5087,0,40,0
342,2,0.186805556,2,222,11511,0,40,2
1808,,0.567361111,3,62,924,0,20,2
1088,9,0.751388889,1,13,1250,0,40,0
479,14,0.513194444,3,1,791,0,200,1
727,,0.457638889,5,1,881,0,40,0
1992,9,0.865972222,3,84,,2,40,0
976,3,0.738194444,2,1,,0,200,0
1456,9,0.860416667,4,34,1170,0,40,0
2503,8,0.579166667,3,17,6647,0,40,0
1697,4,0.688888889,3,5,577,0,40,0
2240,12,0.720833333,3,51,9689,0,100,1
2277,,0.684027778,5,5,1075,31,40,0
2298,12,0.722222222,4,23,6996,0,40,2
4170,5,0.692361111,4,1,963,0,40,0
1554,14,0.684027778,1,46,,0,40,1
1374,13,0.705555556,2,24,162,0,40,0
2721,13,0.615972222,2,13,8716,0,40,0
2759,13,0.685416667,2,1,3770,0,200,1
3606,6,0.48125,5,1,1414,0,40,0
3757,9,0.83125,2,5,5821,0,40,0
3950,13,0.611111111,1,32,3311,16,40,1
3906,2,0.550694444,3,8,,0,40,0
3206,14,0.792361111,4,16,3264,0,40,1
67,13,0.550694444,3,8,1656,0,40,0
3620,12,0.819444444,4,21,5001,2,40,1
221,14,0.584027778,2,26,1665,0,40,2
3232,9,0.641666667,2,10,438,0,40,0
1378,13,0.485416667,3,15,9221,2,40,0
3187,11,0.394444444,1,8,19629,0,40,0
88,9,0.56875,1,7,402,1,40,0
3240,9,0.6625,1,10,120,0,40,0
2464,9,0.456944444,1,14,1830,3,40,1
3833,,0.495138889,5,15,3292,0,40,1
4094,11,0.522222222,1,6,23543,0,40,0
3363,8,0.451388889,5,30,114910,0,40,0
1872,9,0.574305556,4,22,,1,40,0
1257,9,0.46875,4,1,4894,0,400,1
3820,5,0.659722222,4,10,13766,183,40,1
2530,2,0.058333333,4,10,5160,0,40,0
1840,9,0.579861111,2,29,1045,38,40,0
397,8,0.647916667,5,18,60528,0,40,0
1684,9,0.545833333,7,35,529,0,40,1
4267,13,0.481944444,1,6,2175,0,40,0
2189,14,0.021527778,2,71,2829,0,400,3
3158,9,0.546527778,4,4,73,0,40,0
3733,12,0.675,5,5,3777,135,40,1
1096,2,0.219444444,1,220,33204,0,40,3
2110,12,0.047916667,4,159,2690,0,40,3
2500,13,0.54375,4,19,9496,0,40,0
979,14,0.688888889,3,4,1957,0,40,1
283,14,0.571527778,2,148,2465,0,40,3
2252,11,0.439583333,4,23,7116,0,40,0
3010,14,0.755555556,2,20,3280,366,100,2
3589,6,0.639583333,2,12,6223,0,40,2
3020,7,0.493055556,2,13,,0,40,2
613,8,0.406944444,2,13,166636,0,40,0
2856,5,0.417361111,4,1,2513,0,200,1
2168,3,0.405555556,3,12,990,0,20,0
1862,8,0.635416667,1,6,57611,0,40,0
423,,0.674305556,3,2,784,0,40,0
4092,12,0.624305556,2,13,7653,0,40,1
2793,5,0.673611111,3,1,3270,0,40,0
3262,,0.696527778,5,11,2839,91,40,1
839,3,0.71875,2,2,354,0,40,0
500,13,0.691666667,5,2,3537,0,40,0
2583,14,0.781944444,3,16,1282,0,400,3
1450,,0.442361111,5,24,2888,0,40,2
549,12,0.427083333,5,21,2922,0,40,2
557,,0.648611111,4,57,2143,0,40,3
2658,13,0.583333333,1,34,4681,16,40,1
3692,13,0.733333333,1,27,4698,0,40,0
218,8,0.470833333,5,14,45711,0,40,0
1293,9,0.704166667,5,16,,38,40,0
1138,12,0.630555556,3,220,1297,41,40,2
209,8,0.653472222,2,10,85915,0,40,0
2389,13,0.070833333,4,10,751,0,40,2
1807,7,0.692361111,4,1,316,0,40,0
1839,9,0.634722222,1,13,316,2,40,0
3901,2,0.28125,1,220,111415,0,40,3
3024,9,0.598611111,1,27,,4,40,0
948,14,0.41875,4,2,674,0,200,1
3566,4,0.674305556,5,5,643,0,40,0
532,12,0.461111111,5,31,6655,0,40,1
3673,9,0.691666667,5,13,2795,75,40,1
2628,9,0.188194444,5,8,1049,0,40,0
1780,9,0.323611111,7,6,2774,0,20,0
2944,13,0.415277778,5,5,2334,30,40,0
2629,,0.627083333,5,2,,0,40,1
639,9,0.574305556,1,19,261,168,40,0
4185,9,0.713888889,5,18,117,2,20,0
3628,6,0.855555556,2,83,940,0,20,0
0,13,0.568055556,2,148,11252,0,40,2
4030,4,0.425694444,5,1,136,0,40,0
4248,7,0.417361111,5,221,2677,0,40,3
3336,3,0.652777778,3,40,430,0,40,0
1532,5,0.672916667,1,1,4835,0,200,1
4206,6,0.452777778,2,1,,0,200,1
247,9,0.7125,3,14,2984,0,40,0
1727,11,0.658333333,4,2,63013,0,200,0
3231,,0.590972222,5,14,72,2,40,0
2953,13,0.36875,3,1,3951,0,200,1
2754,9,0.563888889,5,21,362,0,40,0
2688,6,0.720138889,5,14,767,0,40,1
3276,9,0.54375,7,23,528,0,40,0
1427,3,0.485416667,4,1,81,0,40,0
1498,13,0.665972222,2,37,4769,0,40,0
2325,13,0.011805556,1,55,4930,0,40,1
2307,9,0.294444444,4,62,987,1,20,1
2855,14,0.681944444,5,2,977,0,40,1
3727,14,0.740972222,2,1,848,0,200,1
1451,9,0.740277778,2,5,1242,0,40,0
2663,,0.448611111,1,222,2649,0,40,1
278,13,0.411805556,5,1,1985,0,200,1
952,9,0.730555556,1,27,1689,1,40,0
2545,14,0.633333333,5,17,3214,9,40,1
1876,4,0.434722222,5,9,813,0,40,0
1340,12,0.624305556,2,13,3802,0,40,1
1767,13,0.269444444,1,216,20594,0,40,3
2910,12,0.659027778,7,5,,0,40,1
1859,,0.464583333,1,11,935,3,40,2
4074,14,0.538888889,3,216,1067,0,40,3
4153,8,0.558333333,2,18,,0,40,0
2121,11,0.415277778,5,5,24551,0,40,0
155,9,0.575694444,2,5,1035,0,40,0
985,9,0.925694444,2,82,986,0,20,1
2233,13,0.759027778,2,9,3811,0,40,0
1402,3,0.436805556,4,1,204,0,200,0
1444,2,0.7625,4,31,30245,0,40,0
1904,12,0.635416667,1,32,,0,40,1
1732,7,0.667361111,5,9,3524,0,200,3
1672,11,0.577777778,2,2,78766,0,40,0
3609,8,0.809722222,4,7,10499,0,40,0
1702,13,0.642361111,4,6,1058,0,40,0
1566,14,0.43125,4,56,2138,0,40,3
2902,6,0.573611111,3,8,,0,40,0
3780,14,0.603472222,4,6,3193,0,20,0
700,,0.19375,5,8,589,0,40,0
2232,2,0.179166667,2,221,18490,0,40,2
644,9,0.704166667,1,11,2686,0,40,1
3355,12,0.702777778,1,39,3278,45,40,2
929,6,0.779166667,3,6,227,0,40,0
3954,6,0.7125,4,78,942,25,20,0
2114,9,0.388194444,2,10,1572,0,40,0
4149,3,0.495138889,3,1,,0,40,0
246,7,0.447916667,4,8,2706,2,20,1
4031,6,0.588888889,2,13,2398,35,40,0
923,9,0.441666667,1,23,992,0,40,0
1503,11,0.426388889,5,1,16173,0,40,0
1185,9,0.877083333,7,12,185,0,40,0
3969,13,0.766666667,1,11,4299,58,40,0
669,3,0.579166667,2,29,1032,0,40,0
4001,5,0.572222222,4,10,13827,0,40,0
1563,12,0.463194444,3,13,8787,124,40,1
2512,14,0.320833333,5,31,1502,9,40,1
3015,13,0.700694444,2,10,9562,0,40,1
2812,7,0.685416667,3,1,445,0,40,0
3039,0,0.305555556,4,204,6906,0,40,3
648,11,0.804861111,1,27,14858,0,40,0
543,,0.704166667,3,1,4917,0,400,1
3130,9,0.788888889,7,10,2663,0,40,1
1417,12,0.589583333,1,33,3252,9,40,1
3375,8,0.724305556,2,147,64075,0,40,0
259,,0.544444444,1,62,1003,1,20,1
1513,7,0.558333333,4,1,626,0,40,0
3159,3,0.676388889,3,8,812,0,40,0
927,9,0.677083333,1,11,2663,0,40,1
612,4,0.680555556,5,2,319,0,40,0
1023,,0.727777778,3,5,2790,0,40,0
3785,9,0.43125,5,6,857,0,40,0
1152,9,0.705555556,2,6,6375,0,40,0
219,13,0.684027778,5,6,,43,40,0
3604,7,0.6625,1,1,633,0,200,2
485,7,0.741666667,2,1,689,0,200,2
2672,9,0.544444444,7,27,531,0,40,1
1675,14,0.506944444,3,2,2929,64,40,1
258,6,0.550694444,3,9,533,0,40,0
3329,,0.778472222,3,20,3282,0,100,1
386,8,0.725,5,3,71036,0,40,0
847,2,0.305555556,1,222,23227,0,40,2
3816,14,0.719444444,2,3,905,0,40,1
1896,9,0.605555556,5,17,3398,8,40,1
4294,5,0.490277778,3,147,15789,0,40,3
3303,7,0.426388889,5,1,475,0,40,0
3114,13,0.7125,2,16,,0,40,0
1846,5,0.691666667,3,8,4066,61,40,0
1233,12,0.420833333,4,1,1527,0,200,2
1642,13,0.797916667,3,6,7829,0,40,0
2037,,0.725694444,1,21,3256,0,100,1
3271,,0.4375,1,7,2425,0,40,0
2943,9,0.365277778,4,62,957,0,20,2
3879,3,0.457638889,5,6,737,0,40,0
1095,9,0.482638889,3,7,821,1,40,0
3364,11,0.644444444,2,2,43498,0,40,0
1873,9,0.877777778,7,28,193,0,40,0
1320,9,0.758333333,1,6,80,0,40,0
1543,14,0.78125,3,16,,0,400,3
507,2,0.46875,3,21,17466,0,40,0
7,11,0.45,3,5,24753,0,40,0
3515,9,0.295138889,4,62,975,1,20,1
2345,6,0.622222222,2,13,,0,40,0
2473,9,0.838888889,2,147,,0,40,3
2401,9,0.640972222,4,4,,0,40,0
3591,8,0.419444444,5,33,23283,0,40,0
2591,11,0.636805556,4,27,3428,0,40,0
378,9,0.546527778,4,5,80,0,40,0
3209,6,0.536805556,3,216,926,0,40,2
678,6,0.673611111,3,76,,81,30,3
3980,3,0.543055556,1,25,2994,0,40,0
1600,4,0.732638889,2,52,368,0,40,1
1011,,0.756944444,5,13,2572,0,40,0
1832,9,0.671527778,5,1,844,0,40,0
3182,7,0.682638889,4,6,2191,0,40,1
3160,9,0.738888889,4,71,2139,0,40,2
65,,0.667361111,1,1,35084,0,200,0
3184,13,0.257638889,3,1,241,0,40,0
3530,13,0.45625,1,23,2699,0,40,2
3403,9,0.967361111,3,73,3566,0,40,2
2101,,0.036805556,3,199,31279,0,40,3
679,9,0.947916667,6,11,,0,40,1
2236,9,0.418055556,5,1,,0,40,0
781,2,0.33125,5,8,73655,0,40,0
4112,4,0.645833333,5,18,2027,0,40,1
627,9,0.566666667,3,13,1864,0,40,0
3778,8,0.575694444,2,13,,0,40,0
4228,14,0.421527778,5,5,765,1,40,0
3088,14,0.438888889,4,23,,1,40,1
2743,13,0.045138889,1,55,4869,0,40,2
3337,2,0.560416667,2,12,107907,0,40,0
883,13,0.711111111,4,2,5684,0,40,0
1091,3,0.577777778,5,46,5485,0,40,0
382,13,0.230555556,4,221,1359,0,40,2
3318,8,0.663194444,4,1,20485,0,40,0
3274,,0.590972222,5,1,352,0,40,0
1793,8,0.48125,5,1,37971,0,40,0
2807,13,0.570138889,4,32,3466,0,40,0
31,8,0.397916667,1,7,6660,0,40,0
2509,,0.9,1,3,10496,0,40,0
2402,11,0.421527778,1,3,122662,0,40,0
3311,,0.688194444,5,7,34648,0,40,0
610,7,0.467361111,2,1,107,0,40,0
570,9,0.959027778,5,7,3172,0,40,0
2281,9,0.877777778,7,17,227,0,40,0
343,9,0.545138889,7,42,,0,40,1
2259,7,0.442361111,2,1,732,0,40,1
2465,8,0.649305556,5,2,55443,0,40,0
2364,13,0.011805556,5,55,4870,0,40,1
3497,9,0.222916667,5,62,647,1,20,1
3758,,0.647222222,2,26,4780,0,40,3
3586,7,0.584722222,1,7,2323,0,40,1
2863,7,0.60625,5,45,16460,5,40,2
1983,9,0.673611111,2,7,3580,0,20,0
1590,2,0.772916667,1,222,77019,0,40,3
1135,13,0.651388889,3,27,3249,1,40,0
2420,13,0.023611111,3,51,4860,0,40,1
3053,,0.479861111,5,24,,0,40,3
841,,0.698611111,5,7,837,0,40,0
2899,5,0.452083333,2,4,23053,8,40,1
2372,13,0.321527778,4,8,,0,40,0
965,11,0.459722222,3,1,39478,0,40,0
528,3,0.727777778,2,52,1436,0,40,0
176,5,0.718055556,2,1,3831,0,40,0
422,7,0.693055556,3,265,1150,103,40,1
1803,6,0.396527778,1,7,258,237,40,0
3738,9,0.63125,3,4,1249,0,40,0
2339,9,0.492361111,3,83,953,0,20,1
1377,5,0.436805556,5,13,4449,31,40,0
572,9,0.757638889,2,15,292,0,40,0
2655,3,0.467361111,2,1,79,0,40,0
288,11,0.665277778,1,1,,0,40,0
1611,12,0.585416667,3,5,3431,0,40,2
2229,12,0.622222222,5,6,6406,634,40,3
3034,5,0.445833333,4,8,4624,1,20,0
2090,11,0.599305556,5,45,233942,0,40,2
4144,13,0.017361111,2,55,4841,0,40,0
3176,14,0.589583333,1,22,5029,11,40,1
2577,14,0.513194444,3,17,660,1,40,1
2997,5,0.586111111,2,88,5017,55,40,1
1537,5,0.614583333,2,26,8293,0,40,2
4056,13,0.831944444,1,12,,0,40,0
2172,2,0.473611111,2,220,19330,0,40,2
383,,0.636111111,2,13,2598,0,40,1
3570,8,0.542361111,1,22,,0,40,0
370,,0.697916667,5,5,1200,0,40,1
2223,14,0.579166667,5,10,2643,0,200,2
2155,13,0.636111111,4,7,,4,40,0
4136,,0.554861111,4,1,1261,0,40,0
1105,14,0.699305556,1,20,3258,0,100,1
2312,9,0.64375,4,3,928,0,40,0
1621,9,0.275,2,11,3173,0,40,0
2977,9,0.772222222,3,5,646,0,40,0
4199,8,0.413888889,5,3,17676,0,40,0
141,9,0.356944444,1,28,492,0,40,1
3873,8,0.733333333,5,13,9788,0,40,0
491,5,0.590277778,5,1,3000,0,40,0
1515,9,0.441666667,1,9,199,0,40,0
198,13,0.013194444,5,55,4904,0,40,1
2206,9,0.209027778,3,10,16991,2,40,0
1171,8,0.443055556,1,8,55127,0,40,0
1226,14,0.51875,4,24,491,120,40,2
1874,14,0.675694444,5,6,1311,342,40,1
1422,9,0.677777778,6,11,5752,0,60,1
3393,3,0.590277778,5,1,134,0,40,0
1610,,0.602777778,2,18,3285,23,100,1
1950,4,0.477777778,5,14,226,0,40,0
195,13,0.21875,5,217,12649,0,40,3
874,9,0.545833333,7,33,509,0,40,1
2987,12,0.677777778,2,88,2993,0,40,3
3793,12,0.459027778,3,1,1999,0,40,0
2989,14,0.429861111,4,2,826,0,200,1
840,13,0.85625,3,4,3029,0,40,0
581,13,0.354861111,4,8,1100,0,40,0
